rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
8.7 45,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1119483806.jpg,True,1298733,剧情 黑色电影,美国,日落大道,https://movie.douban.com/subject/1298733/,1950-08-10,53,37787,8.7,威廉·霍尔登 葛洛丽亚·斯旺森 埃里克·冯·施特罗海姆 南希·奥尔森 弗雷德·克拉克 劳埃德·高夫 杰克·韦伯 富兰克林·法纳姆 拉里·J·布莱克 塞西尔·B·戴米尔 赫达·霍珀 巴斯特·基顿 安娜·Q·尼尔松 H.B.沃纳 Ray Evans Jay Livingston Fred Aldrich 格特鲁德·阿斯特 安妮·鲍切恩斯 Edward Biby 丹尼·鲍沙其 Ken Christy 露丝·克利福德 John Cortay Archie R. Dalzell 艾迪·朱 茱莉亚·法耶 Al Ferguson Kenneth Gibson Joe Gray 克莱顿·黑尔 E. Mason Hopper Tiny Jones 霍华德·乔斯林 Perc Launders Alan Marston Gertrude Messinger 哈罗德·米勒 李·米勒 拉尔夫·蒙哥马利 伯特·穆尔豪斯 Jay Morley 霍华德·尼格利 奥托拉内史密斯 伊娃·诺瓦克 弗兰克·奥康纳 罗伯特·埃米特·奥康纳 Jack Perrin 西德尼·斯科尔斯基 Archie Twitchell 伊薇特·维克斯 Edward Wahrman 亨利·威尔克松,False
8.7 45,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2171823995.jpg,True,1293841,剧情 黑色电影,美国,倒扣的王牌,https://movie.douban.com/subject/1293841/,1951-06-29,7,8598,8.7,柯克·道格拉斯 简·斯特林 罗伯特·亚瑟 波特·霍尔 雷·蒂尔 理查德·贝内迪克特 杰拉尔丁·豪尔,False
8.6 45,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192213954.jpg,True,1293936,犯罪 黑色电影 惊悚,美国,杀手,https://movie.douban.com/subject/1293936/,1956-06-06,6,17998,8.6,斯特林·海登 小伊莱莎·库克 文斯·爱德华兹 杰伊·C·弗利朋 玛丽·温莎 柯琳·格蕾,False
8.5 45,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675680930.jpg,True,1293226,犯罪 黑色电影 惊悚,美国,双重赔偿,https://movie.douban.com/subject/1293226/,1944-07-03,7,22956,8.5,弗莱德·麦克莫瑞 芭芭拉·斯坦威克 爱德华·罗宾逊 波特·霍尔 福图尼奥·博纳诺瓦 汤姆·鲍尔斯 琼·希瑟,False
8.3 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1884306259.jpg,True,1293973,爱情 悬疑 黑色电影,美国,爱德华大夫,https://movie.douban.com/subject/1293973/,1945-12-28,31,39290,8.3,英格丽·褒曼 格利高里·派克 迈克尔·契诃夫 里奥.G.卡罗尔 朗达·弗莱明 约翰·埃默里 诺曼·劳埃德 比尔·戈德温 史蒂文·杰雷 唐纳德·柯蒂斯 华莱士·福特 亚特·贝克 里吉斯·图米 保罗·哈维 简·阿克 欧文·培根 哈利·布朗 杰奎琳·德威特 爱德华·菲尔丁 阿尔弗雷德·希区柯克 维克托·基利恩 马特·摩尔 艾迪生·理查兹 厄斯金·桑福德 戴夫·威洛克 Richard Bartell Teddy Infuhr George Meader Constance Purdy Clarence Straight 童自荣,False
8.3 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p935420710.jpg,True,1293381,剧情 犯罪 惊悚 黑色电影,德国,M就是凶手,https://movie.douban.com/subject/1293381/,1931-05-11,16,22065,8.3,彼得·洛 艾伦·维德曼 因格·兰德特 奥托·维尔尼克 西奥·林根 弗朗茨·斯坦 厄恩斯特·斯塔尔-纳什布拉 格哈德·比纳特 卡尔·普拉滕 罗莎·法蕾雅 鲍尔·肯培 弗里茨·奥德玛 弗里德里希·纳森 格林德根斯·古斯塔法 西奥多·卢斯 赫塔·瓦尔特,False
8.3 45,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2193745066.jpg,True,1295451,黑色电影 悬疑 惊悚,英国,第三人,https://movie.douban.com/subject/1295451/,1949-09-03,10,15279,8.3,约瑟夫·科顿 阿莉达·瓦利 奥逊·威尔斯 特瑞沃·霍华德 伯纳德·李 Hedwig Bleibtreu Erich Ponto Siegfried Breuer 厄恩斯特·多伊奇 保罗·赫尔比格尔,False
8.3 45,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174125862.jpg,False,1394342,剧情 犯罪 惊悚 黑色电影,法国,通往绞刑架的电梯,https://movie.douban.com/subject/1394342/,1958-01-29,22,5884,8.3,让娜·莫罗 莫里斯·罗内 乔吉斯·伯乔利 约里·贝尔坦 让·瓦尔 埃尔加·安德森 西尔维亚娜·艾森施泰因 米舍利娜·博纳 吉赛勒·格兰普雷 马塞尔·屈弗利耶 热拉尔·达里厄 查尔斯·登纳 于贝尔·德尚 雅克·黑林 马塞尔·乔内 弗朗索瓦·茹 伊万·彼得罗维奇 费利克斯·马滕 利诺·文图拉 让-克洛德·布里亚利 Pierre Frag 尼古拉·巴塔伊,False
8.3 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2303444190.jpg,True,1305032,犯罪 悬疑 惊悚 运动 黑色电影,英国 美国,四海本色,https://movie.douban.com/subject/1305032/,1950,36,2613,8.3,理查德·威德马克 吉恩·蒂尔尼 乔姬·韦瑟斯 休·马洛威 弗朗西斯·l·沙利文 赫伯特·罗姆 Stanislaus Zbyszko 迈克·马祖尔凯 Charles Farrell Ada Reeve Ken Richmond Adelaide Hall Eliot Makeham Betty Marsden Derek Blomfield Clifford Buckton Ernest Butcher Peter Butterworth 爱德华·查普曼 Patricia Davidson Maureen Delaney 奥布里德克斯特 Stanley Escane 詹姆斯·海特 凯·肯戴尔 Arthur Lovegrove 费迪·梅恩 Gibb McLaughlin MacDonald Parke 查尔斯·巴顿 Philip Ray Johnnie Schofield 约翰·夏普 阿兰·提尔文 C·丹尼尔·沃伦 Brian Weske,False
8.3 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2197079707.jpg,True,1302338,剧情 黑色电影 惊悚,美国,漩涡之外,https://movie.douban.com/subject/1302338/,1947-11-13,37,2494,8.3,罗伯特·米彻姆 简·格里尔 柯克·道格拉斯 朗达·弗莱明 迪基·穆尔 Caleb Peterson Manuel París Jose Portugal Ken Niles Charles Regan Wallace Scott Tony Roux 瓦伦汀·德·瓦格斯 弗兰克·维尔考克斯 William Van Vleck Paul Valentine Archie Twitchell 杰弗里·塞尔 Victor Romito 约翰·凯洛格 弗吉尼娅·休斯顿 迈克·拉里 奥利弗布莱克 布鲁克斯·贝内迪克特 理查德·韦伯 玛丽·菲尔德 Eumenio Blanco Hubert Brill 哈里·海登 Adda Gleason 特蕾莎.哈里斯 Lee Elson Homer Dickenson 斯蒂夫·布罗狄 James Bush 詹姆斯·科纳蒂 Philip Morris,False
