rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.2 50,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,True,1303021,剧情 儿童 家庭,伊朗,小鞋子,https://movie.douban.com/subject/1303021/,1999-01-22,8,283464,9.2,法拉赫阿米尔·哈什米安 默罕默德·阿米尔·纳吉 巴哈丽·西迪奇 纳菲丝·贾法-穆罕默迪 费雷什特·萨拉班迪 Dariush Mokhtari 克里斯托弗·马利基 少爷占,False
9.2 50,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2264503315.jpg,True,5169462,儿童 喜剧 动画 音乐,英国,班班和莉莉的小王国,https://movie.douban.com/subject/5169462/,2009,2,360,9.2,萨拉·克罗 普雷斯顿·尼曼,False
9.1 45,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg,True,1418076,剧情 儿童,中国大陆,天堂回信,https://movie.douban.com/subject/1418076/,1992-02-01,6,20281,9.1,石晨 李丁 肖雄 赵子岳 马晓晴 刘仲元,False
9.1 45,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg,False,1301811,剧情 儿童,美国,鳄鱼波鞋走天涯,https://movie.douban.com/subject/1301811/,1995-04-21,14,12535,9.1,布拉德·兰弗洛 约瑟夫·梅泽罗 安娜贝拉·莎拉 戴安娜·斯卡尔维德 约翰·卡洛·林奇 埃里克·伊根 David Alan Smith Laurie A. Sinclair Bill Schoppert 芮妮·汉弗莱 布鲁斯·戴维森 尼基·凯特 约翰·比斯利 杰瑞米·霍华德,False
9.1 45,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2517536598.jpg,False,2361040,剧情 儿童,中国大陆,紫陀螺,https://movie.douban.com/subject/2361040/,2006,0,1142,9.1, ,False
9.0 45,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2531986271.jpg,False,2972559,剧情 喜剧 动画 家庭 儿童,美国,做我的情人吧，查理·布朗,https://movie.douban.com/subject/2972559/,1975-01-28,3,423,9.0,比尔·莫伦茨 Stephen Shea Linda Ercoli,False
9.0 45,7,https://img3.doubanio.com/view/subject/l/public/s4347260.jpg,False,4820432,儿童 喜剧 动画,中国大陆,霹霹乐翻天,https://movie.douban.com/subject/4820432/,2008,0,354,9.0, ,False
8.9 45,8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,True,4848115,剧情 动画 儿童,日本,你看起来好像很好吃,https://movie.douban.com/subject/4848115/,2010-10-16,20,245777,8.9,山口胜平 爱河里花子 加藤清史郎 原田知世 川岛得爱 折笠富美子 桐本拓哉 别所哲也 矢田稔 川村万梨阿 高乃丽 小室正幸 江川央生 志村知幸 胜沼纪义 井田国男 宫西达也 宫西美奈子 Takuya Kirimoto Kirimoto Takuya,False
8.9 45,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,False,2363506,剧情 儿童 家庭,印度,地球上的星星,https://movie.douban.com/subject/2363506/,2007-12-21,18,148856,8.9,达席尔·萨法瑞 阿米尔·汗 塔奈·切赫达 萨谢·英吉尼尔 蒂丝卡·乔普拉 维品·沙尔马 拉利塔·拉伊米 吉里贾·奥克 拉维·汗维尔卡尔 普拉蒂玛·库尔卡尼 梅娜·马里克 索纳利·萨查德夫 桑贾伊·达迪克 拉加·戈帕尔·耶尔 布格斯·巴尔加瓦 尚卡尔·萨查德夫 M·K·拉伊纳 阿布舍克·巴强,False
8.9 45,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1979379460.jpg,True,1292925,剧情 儿童 冒险,美国,伴我同行,https://movie.douban.com/subject/1292925/,1986-08-08,14,81771,8.9,瑞凡·菲尼克斯 威尔·惠顿 科里·费尔德曼 杰瑞·奥康奈尔 约翰·库萨克 理查德·德莱福斯 基弗·萨瑟兰 布鲁斯·柯比 弗兰西斯·李·麦克凯恩 马绍尔·贝尔 布拉德利·格雷格 加里·莱利 凯西·希玛兹科 杰森·奥利弗,False
8.9 45,11,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1990883116.jpg,False,2310047,剧情 动画 儿童,日本,可玛猫,https://movie.douban.com/subject/2310047/,2009-05-26,1,3124,8.9,合田经郎,False
8.8 45,12,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p531278288.jpg,True,1301169,剧情 儿童 歌舞 家庭,英国 法国,跳出我天地,https://movie.douban.com/subject/1301169/,2000-05-19,25,76407,8.8,杰米·贝尔 朱丽·沃特斯 杰米·德拉文 加里·刘易斯 斯图亚特·韦尔斯 麦克·艾略特 黛比威尔金森 琼·海伍德 查利哈德威克 马修·詹姆斯·托马斯 史蒂芬·曼甘  帕特里克·麦拉海德 芭芭拉·雷吉-亨特 伊莫金·克莱尔 戴安娜·肯特 尼尔瑙兹 李·威廉姆斯 梅丽娜·肯德尔 佐伊·贝尔 梅林欧文 亚当·库柏 亚当加尔布莱斯 莎伦·佩尔西 戴米安温特希金斯 童自荣,False
8.8 45,13,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494288807.jpg,True,1467748,剧情 儿童,中国大陆,我的九月,https://movie.douban.com/subject/1467748/,1990,22,8439,8.8,张萌 张国立 陶泽如 沈丹萍 邢丹丹 张晨 莫岐 李明珠 李丁 李丹军 陈立中 范东升 王颖 黎频 段薇 于林达 尹力 骆玉兰 张立美 史建全 张其贵 齐克建,False
8.8 45,14,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508683103.jpg,False,1790587,剧情 儿童 冒险,法国,苦儿流浪记,https://movie.douban.com/subject/1790587/,2000-12-18,14,722,8.8,马丽安·萨格布雷特 Francis Besson 弗拉迪姆·贾沃斯克 Josef Kubícek 弗雷德里克·德班 马赛尔·多索涅 Robert Borremans 克洛德·雅德 斯特法诺·迪奥尼斯 皮埃尔·里夏尔 贝尔纳·弗雷松 维罗尼卡·费瑞尔 菲利普·纳翁 儒勒·斯楚克,False
8.8 45,15,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206508122.jpg,False,3097520,剧情 喜剧 动画 儿童,美国,你是个好人，查理·布朗,https://movie.douban.com/subject/3097520/,1985-11-06,6,688,8.8,Jeremy Scott Reinbolt Tiffany Reinbolt Robert Towers Brad Kesten 比尔·莫伦茨 大卫·瓦格纳,False
8.7 45,16,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,True,1291579,儿童 喜剧 动画 奇幻 冒险,美国,怪兽电力公司,https://movie.douban.com/subject/1291579/,2001-11-02,22,456273,8.7,约翰·古德曼 比利·克里斯托 玛丽·吉布斯 史蒂夫·布西密 詹姆斯·柯本 詹妮弗·提莉 鲍勃·彼德森 约翰·拉岑贝格 弗兰克·奥兹 丹尼尔·吉尔森 邦尼·亨特 杰克·安杰尔 塞缪尔·洛德·布莱克 史蒂夫·萨斯坎德 王伟忠 胡立成 雪莉·琳恩 李立宏 李·昂克里奇 比尔·法玛尔 华莱士·肖恩 黄子佼,False
8.7 45,17,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p638702029.jpg,False,2357302,剧情 儿童,日本,爱犬的奇迹,https://movie.douban.com/subject/2357302/,2007-12-08,15,10994,8.7,船越英一郎 松本明子 广田亮平 佐佐木麻绪 宇津井健 高岛政伸 小林麻央 小野武彦 德井优 梨本谦次郎 萤雪次朗 角替和枝 蛭子能收 三宅弘城 王树熹,False
8.7 45,18,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461375551.jpg,True,19976058,剧情 儿童,中国大陆,念书的孩子,https://movie.douban.com/subject/19976058/,2012-06-15,3,4112,8.7,江化霖 李佳奇 徐巾淇,False
