rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.6 50,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570037692.jpg,False,3921776,音乐,美国,天下一家,https://movie.douban.com/subject/3921776/,1985-01-28,42,593,9.6,迈克尔·杰克逊 雷·查尔斯 简·方达 莱昂纳尔·里奇 达利尔·豪尔 马龙·杰克逊 鲍勃·迪伦 La Toya Jackson 迪昂妮·沃威克 Ruth Pointer 艾尔·贾诺 布鲁斯·斯普林斯汀 兰迪·杰克逊 肯尼·罗杰斯 休易·路易斯 Waylon Jennings 杰弗里·奥斯本 Anita Pointer Steve Perry 约翰·欧兹 Dan Hill 蒂托·杰克逊 蒂娜·特纳 昆西·琼斯 黛安娜·罗斯 比利·乔 斯蒂夫·旺达 辛迪·劳帕 丹·艾克罗伊德 Lindsey Buckingham Sheila E. 杰基·杰克逊 史摩基·罗宾逊 June Pointer 保罗·西蒙 威利·纳尔逊 鲍勃·吉尔道夫 金·卡娜丝 肯尼·洛金斯 哈里·贝拉方特 詹姆斯·英格拉姆 贝特·米德勒,False
9.5 50,2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570591647.jpg,False,3712009,音乐,英国,神秘博士：2008逍遥音乐会,https://movie.douban.com/subject/3712009/,2008-07-27,3,684,9.5,保罗·卡塞 凯瑟琳·塔特 弗莉玛·阿吉曼,False
9.5 50,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2550492983.jpg,False,1947460,音乐,德国,Minimum-Maximum,https://movie.douban.com/subject/1947460/,2005-12-02,2,494,9.5,Ralf Hütter Florian Schneider,False
9.5 50,4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541097448.jpg,False,5258042,音乐,美国,雅尼2006年拉斯维加斯音乐会,https://movie.douban.com/subject/5258042/,2006,2,463,9.5,雅尼 Pedro Eustache,False
9.5 50,5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2109186713.jpg,False,25712446,音乐,美国 英国,雅尼：雅典卫城现场音乐会,https://movie.douban.com/subject/25712446/,1994-03-01,2,403,9.5,Darlene Koldenhoven 雅尼,False
9.4 50,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg,False,20326557,剧情 爱情 音乐,法国,巴黎圣母院,https://movie.douban.com/subject/20326557/,1999,7,8894,9.4,海伦娜·赛加拉 加劳 丹尼尔·拉沃伊 布鲁诺·佩尔蒂埃 帕特里克·费欧里 拉克·默维尔 朱丽叶·泽纳缇,False
9.4 50,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2215874393.jpg,False,26264388,剧情 喜剧 音乐,英国,跳出我天地音乐剧,https://movie.douban.com/subject/26264388/,2014-09-28,6,1011,9.4,鲁茜·亨肖 利亚姆·莫威尔 霍华德·克罗斯利 汤姆·赫兰德 艾力厄特·翰纳 伊莫珍·古尼,False
9.4 50,8,https://img9.doubanio.com/view/subject/l/public/s1879234.jpg,False,1900866,音乐,苏联,天鹅湖,https://movie.douban.com/subject/1900866/,1969-01-24,2,723,9.4,Makhmud Esambayev 温迪·爱丽丝,False
9.4 50,9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574529758.jpg,False,3709654,音乐,美国,克里斯·波提：波士顿现场,https://movie.douban.com/subject/3709654/,2009,3,340,9.4,凯瑟琳·麦菲 Chris Botti 露西娅·米格莱丽,False
9.3 50,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,True,1292001,剧情 音乐,意大利,海上钢琴师,https://movie.douban.com/subject/1292001/,2019-11-15,23,1221153,9.3,蒂姆·罗斯 普路特·泰勒·文斯 比尔·努恩 克兰伦斯·威廉姆斯三世 梅兰尼·蒂埃里 皮特·沃恩 尼尔·奥布赖恩 阿尔贝托·巴斯克斯 加布里埃莱·拉维亚 科里·巴克 西德尼·科尔 Luigi De Luca 尼古拉·迪·平托 费米·依鲁福祖 伊斯顿·盖奇 凯文·麦克纳利 布莱恩·普林格 沙拉·鲁宾 希思科特·威廉姆斯 阿妮妲·扎格利亚 安吉洛·迪洛雷塔 吉达·布塔 曲敬国,False
