rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.4 50,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1161132422.jpg,True,1291831,剧情 爱情 家庭,意大利,灿烂人生,https://movie.douban.com/subject/1291831/,2003-06-22,16,42679,9.4,路易吉·洛·卡肖 阿莱西奥·博尼 索尼娅·贝加马斯科 玛雅·珊萨 法布里齐奥·吉福尼 杰丝敏·特丽卡 里卡多·斯卡马乔 安德烈提多娜 瓦伦蒂娜·卡妮卢提 卡米拉·菲利皮 莉迪亚·维塔莱 Claudio Gioè 斯特凡诺·阿伯蒂 安东内洛·普利西 阿德里娅娜·阿斯蒂 Giuseppe Gandini,False
9.2 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,True,1292365,剧情 历史 家庭,中国大陆 中国香港,活着,https://movie.douban.com/subject/1292365/,1994-05-17,17,567346,9.2,葛优 巩俐 姜武 牛犇 郭涛 张璐 倪大红 肖聪 董飞 刘天池 董立范 黄宗洛 刘燕瑾 李连义 杨同顺 苏岩 王丽华,False
9.2 50,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,True,1303021,剧情 儿童 家庭,伊朗,小鞋子,https://movie.douban.com/subject/1303021/,1999-01-22,8,283465,9.2,法拉赫阿米尔·哈什米安 默罕默德·阿米尔·纳吉 巴哈丽·西迪奇 纳菲丝·贾法-穆罕默迪 费雷什特·萨拉班迪 Dariush Mokhtari 克里斯托弗·马利基 少爷占,False
9.2 50,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,True,25958717,剧情 冒险 家庭,德国 瑞士 南非,海蒂和爷爷,https://movie.douban.com/subject/25958717/,2019-05-16,20,266635,9.2,阿努克·斯特芬 布鲁诺·甘茨 昆林·艾格匹 安娜·申茨 伊莎贝尔·奥特曼 莉莲·奈福 彼得·杰克林 克里斯托夫·高格勒 丽贝卡·因德穆 莫妮卡·古布瑟 阿瑟·比勒 玛丽埃塔·耶米 彼得·洛迈尔 卡塔琳娜·舒特勒 杰拉·哈斯 迈克尔·克兰茨 劳拉·帕克 马库斯·赫林 马克西姆·梅米特 汉内洛勒·霍格,False
9.2 45,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg,True,1291568,剧情 家庭,日本,东京物语,https://movie.douban.com/subject/1291568/,1953-11-03,15,90488,9.2,笠智众 原节子 杉村春子 东山千荣子 山村聪 香川京子 三谷幸子 高桥丰子 安部徹 樱睦子 长冈辉子 十朱久雄 大坂志郎 中村伸郎 东野英治郎,False
9.2 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506524685.jpg,True,1293270,剧情 喜剧 家庭,美国,寻子遇仙记,https://movie.douban.com/subject/1293270/,1921-02-06,26,25141,9.2,查理·卓别林 卡尔·米勒 艾德娜·珀薇安丝 杰基·库根 艾伯特·奥斯汀 Nellie Bly Baker 亨利·伯格曼 Edward Biby B.F. Blinn Kitty Bradbury 弗兰克·坎皮沃 Bliss Chevalier Robert Dunbar 丽泰·格雷 Jules Hanft Kathleen Kay Raymond Lee Clyde McAtee Lew Parker 艾斯特·罗尔斯顿 Granville Redmond 查尔斯·赖斯纳 Edgar Sherrod Arthur Thalasso S.D. Wilcox 汤姆·威尔森,False
9.2 50,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg,True,4719384,剧情 爱情 家庭,中国大陆,哀乐中年,https://movie.douban.com/subject/4719384/,1949,23,8619,9.2,石挥 朱嘉琛 沈扬 李浣青 韩非 崔超明 程之 路珊 莫愁 胡小琴 顾慕如 俞仲英 伊斯兰 叶明 林榛 田振东 周瑞德 胡德龙 田恺 刘小沪 葛梅强 姚思诚 于复瑛,False
9.1 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,True,1849031,剧情 传记 家庭,美国,当幸福来敲门,https://movie.douban.com/subject/1849031/,2008-01-17,42,1084155,9.1,威尔·史密斯 贾登·史密斯 坦迪·牛顿 布莱恩·豪威  詹姆斯·凯伦 丹·卡斯泰兰尼塔 柯特·富勒 塔卡尤·费舍尔 凯文·韦斯特 乔治·张 戴维·迈克尔·西尔弗曼 多米尼克·博夫 杰弗·卡伦 乔伊芙·拉文 斯科特·克拉斯 大卫·皮尔 乔治·马奎尔 扎克·布拉夫 加瑞特·法贝斯 伊斯特·斯高特 艾丽莎·安德瑞格 克里斯·加德纳 莫莉·塞拉斯基 罗明 大卫·芬恩 拉希达·克伦迪宁 多恩·安德鲁·西蒙斯 阿米尔·塔莱 约翰·帕特里克·舒拉克 威廉·保罗·史密斯 塞雷娜·锡德 凯文·克鲁克 詹姆斯·科纳 亚当·德尔·里奥 亚历山大·库科尔 戴维·阿伦·霍奇斯 马克·克里斯托弗·劳伦斯 塞西尔·威廉斯 维克托·莱德·维斯勒 亚当·王 扎卡里·卡伯森 里克·坎普,False
9.1 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,True,1291818,剧情 家庭,中国台湾 美国,饮食男女,https://movie.douban.com/subject/1291818/,1994-08-03,20,402404,9.1,郎雄 杨贵媚 吴倩莲 王渝文 张艾嘉 归亚蕾 赵文瑄 陈昭荣 陈捷文 卢金城 唐语谦 洪其德 王瑞 杜满生 王玨 陈妤 左正芬 许敬民 聂卓晶 丁仲,False
9.1 45,10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2107418134.jpg,True,1299361,剧情 家庭,韩国,爱·回家,https://movie.douban.com/subject/1299361/,2002-04-05,2,64095,9.1,金艺芬 俞承豪,False
9.1 45,11,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg,True,1422091,剧情 爱情 家庭,日本,情迷意乱,https://movie.douban.com/subject/1422091/,1964-01-15,14,7139,9.1,高峰秀子 加山雄三 草笛光子 白川由美 三益爱子 滨美枝 藤木悠 北村和夫 十朱久雄 小川安三 浦边粂子 中北千枝子 清水元 佐田丰,False
9.1 45,12,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2376412788.jpg,False,2173840,家庭,俄罗斯,小猫虎子,https://movie.douban.com/subject/2173840/,1997-12-18,2,896,9.1,Lyudmila Arinina Aleksandr Peskov,False
9.1 45,13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2550740471.jpg,False,1305995,动画 家庭 奇幻,捷克斯洛伐克 加拿大,飞翔的梦,https://movie.douban.com/subject/1305995/,1990,10,642,9.1,Katerina Machácková 亚罗米尔·汉兹利克 卢博尔·托科什 Adam Novák Jirina Jirásková Jaroslava Kretschmerová Alena Kreuzmannová 扬·赫鲁欣斯基 伏拉基米尔·布劳德斯基 Lenka Skopalová,False
9.1 45,14,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593308853.jpg,True,2139403,动画 冒险 家庭,美国,史努比的惊险夏令营,https://movie.douban.com/subject/2139403/,1977-08-24,1,515,9.1,比尔·莫伦茨,False
9.0 45,15,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,True,26387939,剧情 传记 运动 家庭,印度,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,2017-05-05,11,1109918,9.0,阿米尔·汗 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那 沙克希·坦沃 塞伊拉·沃西 苏哈妮·巴特纳格尔 里特维克·萨霍里 吉里什·库卡尼 什沙尔·夏尔马 维万·巴特那,False
9.0 45,16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,False,1292434,剧情 爱情 家庭,中国台湾 日本,一一,https://movie.douban.com/subject/1292434/,2000-05-14,25,250242,9.0,李凯莉 金燕玲 张洋洋 萧淑慎 尾形一成 陈希圣 林孟瑾 陈以文 柯宇纶 柯素云 唐如韫 徐淑媛 陶传正 孙法钧 戴立忍 江惠惠 李永丰 张育邦 曾心怡 津田健次郎 唐从圣 许安安 宋少卿 杨德昌 刘亮佐,False
9.0 45,17,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p981755735.jpg,False,1296703,剧情 家庭,日本,楢山节考,https://movie.douban.com/subject/1296703/,1983-04-29,23,29888,9.0,绪形拳 坂本澄子 左顿平 竹城明 小泽昭一 常田富士男 深水三章 仓崎青儿 高田顺子 倍赏美津子 殿山泰司 樋浦勉 高峰凯希 小林稔侍 清川虹子 横山孝信 岛守薰 志村幸江 冈本正巳 江藤汉 岩崎聪子 三木纪平 辰巳柳太郎,False
