rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
9.5 50,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg,True,1303408,喜剧 动作 爱情,美国,福尔摩斯二世,https://movie.douban.com/subject/1303408/,1924-04-21,11,12361,9.5,巴斯特·基顿 凯瑟琳·麦奎尔 乔·基顿 Ward Crane Jane Connelly George Davis Doris Deane Betsy Ann Hisle 丘比·摩根 John Patrick Ford West,False
9.4 50,2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,False,1295644,剧情 动作 犯罪,法国,这个杀手不太冷,https://movie.douban.com/subject/1295644/,1994-09-14,20,1723669,9.4,让·雷诺 娜塔莉·波特曼 加里·奥德曼 丹尼·爱罗 彼得·阿佩尔 迈克尔·巴达鲁科 艾伦·格里尼 伊丽莎白·瑞根 卡尔·马图斯维奇 弗兰克·赛格 麦温 乔治·马丁 罗伯特·拉萨多 亚当·布斯奇 马里奥·托迪斯科 萨米·纳塞利 让·雨果·安格拉德 埃莱娜·卡多纳 大塚明夫 沈晓谦,False
9.2 45,3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,True,1851857,剧情 动作 科幻 犯罪 惊悚,美国 英国,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,2008-07-14,39,729982,9.2,克里斯蒂安·贝尔 希斯·莱杰 艾伦·艾克哈特 迈克尔·凯恩 玛吉·吉伦哈尔 加里·奥德曼 摩根·弗里曼 莫尼克·加布里埃拉·库尔内 罗恩·迪恩 基里安·墨菲 黄经汉 内斯特·卡博内尔 埃里克·罗伯茨 里特奇·科斯特 安东尼·迈克尔·豪尔 基斯·斯扎拉巴基克 柯林·麦克法兰 约书亚·哈尔托 美琳达·麦格劳 内森·甘宝 迈克尔·维约 迈克尔·斯托扬诺夫 威廉·斯米利 丹尼·高德林 迈克尔·加·怀特 马修·奥尼尔 威廉·菲克纳 欧鲁米基·欧拉乌米 格雷格·比姆 爱利克·赫尔曼 毕崔斯·罗森 文森佐·尼克力 陈冠希 罗南·萨莫尔斯 大卫·达斯马齐连 玛丽扎·卡布蕾拉 理查德·迪兰 利萨·麦克阿里斯特 Adam Kalesperis,False
9.2 50,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,True,1291552,剧情 动作 奇幻 冒险,美国 新西兰,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2004-03-12,66,537707,9.2,伊利亚·伍德 西恩·奥斯汀 维果·莫腾森 奥兰多·布鲁姆 伊恩·麦克莱恩 肖恩·宾 多米尼克·莫纳汉 丽芙·泰勒 约翰·贝西 凯特·布兰切特 比利·博伊德 萨德文·布罗菲 阿利斯泰尔·布朗宁 马尔顿·索克斯 伯纳德·希尔 伊安·霍姆 布鲁斯·霍普金斯 Ian Hughes 劳伦斯·马克奥雷 Noel Appleby 布雷特·麦肯齐 Alexandra Astin Sarah McLeod Maisy McLeod-Riera 约翰·诺贝尔 Paul Norell 米兰达·奥图 布鲁斯·菲利普斯 沙恩·朗吉 约翰·瑞斯-戴维斯 Todd Rippon 安迪·瑟金斯 Harry Sinclair 乔尔·托贝克 卡尔·厄本 史蒂芬·乌瑞 雨果·维文 大卫·文翰 阿兰·霍华德 萨拉·贝克 Robert Pollock 佩特·史密斯 杰德·布罗菲 菲利普·格里夫 布拉德·道里夫 克里斯托弗·李 布鲁斯·斯宾斯 Gino Acevedo Jarl Benzon Jørn Benzon Robert Catto Michael Elsworth 彼得·杰克逊 Sandro Kopp 安德鲁·莱斯尼 约瑟夫·米卡-亨特 亨利·莫腾森 克雷格·帕克 克里斯蒂安·瑞沃斯 迈克尔·斯曼内科  霍华德·肖 约翰·斯蒂芬森 理查德·泰勒 金永钢 姜广涛 张磊,False
9.2 50,5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565471701.jpg,True,1295399,动作 冒险 剧情,日本,七武士,https://movie.douban.com/subject/1295399/,1954-04-26,48,132899,9.2,三船敏郎 志村乔 津岛惠子 岛崎雪子 藤原釜足 加东大介 木村功 千秋实 宫口精二 小杉义男 左卜全 稻叶义男 土屋嘉男 高堂国典 东野英治郎 上田吉二郎 多多良纯 渡边笃 小川虎之助 山形勋 上山草人 清水元 高木新平 大友伸 高原骏雄 稻垣三郎 堺左千夫 千石规子 本间文子 大久保正信 伊藤实 大村千吉 广濑正一 宇野晃司 谷晃 中岛春雄 清水美恵 熊谷卓三 夏木顺平 岩本弘司 堤康久 马野都留子 森今日子 加藤武 仲代达矢 宇津井健 山本廉 东静子,False
9.1 45,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,True,1291572,剧情 动作 奇幻 冒险,美国 新西兰,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,2003-04-25,57,491558,9.1,伊利亚·伍德 西恩·奥斯汀 多米尼克·莫纳汉 奥兰多·布鲁姆 维果·莫腾森 伊恩·麦克莱恩 凯特·布兰切特 比利·博伊德 杰德·布罗菲 丽芙·泰勒 安迪·瑟金斯 米兰达·奥图 雨果·维文 布拉德·道里夫 卡卢姆·吉廷斯 伯纳德·希尔 布鲁斯·霍普金斯 克里斯托弗·李 纳撒尼尔·利斯 罗宾·马尔科姆 约翰·贝西 萨拉·贝克 克雷格·帕克 布鲁斯·菲利普斯 Robert Pollock 约翰·瑞斯-戴维斯 奥利维亚·田內 卡尔·厄本 史蒂芬·乌瑞 大卫·文翰 菲利普·格里夫 肖恩·宾 约翰·诺贝尔 Jarl Benzon Jørn Benzon Ben Britton 阿利斯泰尔·布朗宁 Sean Button Robert Catto 罗德尼·库克 卡尔洛斯德林克沃特 西奥沙福瓦 本·弗兰舍姆 Jonathan Harding Lucas Hayward 丹·汉纳 Paul Holmes 杰森霍德 彼得·杰克逊 Sam Kelly Sandro Kopp 姜广涛 张磊 陆建艺 金永钢 劳伦斯·马克奥雷 布鲁克·奥佩斯,False
9.1 45,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg,True,1292778,剧情 喜剧 动作 战争 冒险,美国,将军号,https://movie.douban.com/subject/1292778/,1926-12-31,12,16391,9.1,巴斯特·基顿 玛丽昂·马克 格伦·卡文德 吉姆·法利 弗雷德里克·弗鲁姆 查尔斯·亨利·史密斯 弗兰克·巴恩斯 乔·基顿 麦克·多林 汤姆·纳恩 波利斯·卡洛夫 安东尼·哈维,False
9.0 45,8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,False,1292000,剧情 动作 悬疑 惊悚,美国 德国,搏击俱乐部,https://movie.douban.com/subject/1292000/,1999-09-10,29,629250,9.0,爱德华·诺顿 布拉德·皮特 海伦娜·伯翰·卡特 扎克·格雷尼尔 米特·洛夫 杰瑞德·莱托 艾恩·贝利 里奇蒙德·阿奎特  乔治·马奎尔 鲍勃·斯蒂芬森 Carl Ciarfalio 斯图尔特·布拉姆博格 马特·温斯顿 劳伦·桑切斯 迈克尔·肖姆斯·维尔斯 保罗·卡拉夫特斯 Scotch Ellis Loring 大卫·安德鲁斯 Andi Carnick Markus Redmond 欧根妮·邦杜兰特 Tyrone R. Livingston Kevin Scott Mack Bennie Moore 埃文·米兰德 乔伊·比索奈特 Christina Cabot 大卫·李·史密斯 霍特·麦克卡兰尼,False
9.0 45,9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,True,1291571,剧情 动作 奇幻 冒险,新西兰 美国,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,2002-04-04,52,553267,9.0,伊利亚·伍德 西恩·奥斯汀 伊恩·麦克莱恩 奥兰多·布鲁姆 维果·莫腾森 多米尼克·莫纳汉 比利·博伊德 克里斯托弗·李 马尔顿·索克斯 梅根·爱德华兹 伊安·霍姆 Michael Elsworth 凯特·布兰切特 阿兰·霍华德 马克·弗格森 肖恩·宾 萨拉·贝克 Noel Appleby 劳伦斯·马克奥雷 安迪·瑟金斯 彼得·麦肯齐 Sarah McLeod 伊恩·穆内 克雷格·帕克 卡梅隆·罗德 约翰·瑞斯-戴维斯 Martyn Sanderson Harry Sinclair 丽芙·泰勒 大卫·韦瑟莱 雨果·维文 菲利普·格里夫 威廉·约翰逊 伊丽莎白·穆迪 布莱恩·瑟金特 Gino Acevedo Jarl Benzon Jørn Benzon Ben Britton 杰德·布罗菲 诺曼·凯茨 兰德尔·威廉·库克 萨比恩·克洛森 西奥沙福瓦 本·弗兰舍姆 Jonathan Harding Taea Hartwell 彼得·杰克逊 Sam Kelly 艾伦·李 姜广涛 张磊,False
9.0 45,10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,True,1291843,动作 科幻,美国 澳大利亚,黑客帝国,https://movie.douban.com/subject/1291843/,1999-03-31,24,552355,9.0,基努·里维斯 劳伦斯·菲什伯恩 凯瑞-安·莫斯 雨果·维文 格洛丽亚·福斯特 乔·潘托里亚诺 马库斯·钟 朱利安·阿拉汗加 马特·多兰 贝琳达·麦克洛里 安东尼雷派克 罗伯特·泰勒 阿达·尼科德莫 罗温·维特 Tamara Brown Natalie Tjen 比尔·扬 Chris Scott 纳许·埃哲顿 童自荣 沈晓谦 户田惠子 张磊 金永钢,False
